ID,ProvName,ProvService,ProvUndiscl,ProvSpanish,ProvStreet,ProvCity,ProvState,ProvZIP,ProvLat,ProvLong,ProvWebsite,ProvPhone,ProvEmail,ProvDescr,LastUpdate
1,Human Solutions,"TSH, UTL, JOB,",FALSE,FALSE,12350 SE Powell Blvd.,Portland,OR,97236,45.49698,-122.53569,https://humansolutions.org/services/lilac-meadows-family-shelter/,211; Portland 503-548-0200 ; Rockwood 503-405-7875,,"The Homeless Services Program at Human Solutions provides three elements that are critical to homeless families: emergency shelter, housing assistance, and family advocacy. Some who are experiencing homelessness may be living in their cars or in other places unfit for human habitation. Others may be temporarily “doubled up” with family and friends in potentially unsafe and crowded conditions. When people turn to our emergency shelters, they have exhausted all of their options for housing and literally have no place else to go. Our first priority is to get people into safe shelter or housing.",202108
3,Do Good Multnomah,TSM,TRUE,FALSE,,Portland,OR,,,,https://dogoodmultnomah.org/,503-358-0519,,"24-hour emergency shelter serving male-identifying veterans and non veterans. Showers and laundry for participants. Animals allowed, referral required. May be able to help with deposit/rental assistance. Also manage Clackamas Veterans Village. Call for referral or questions",202108
4,Coordinated Housing Access,TSH,TRUE,FALSE,,Oregon City,OR,,,,http://www.clackamas.us/communitydevelopment/cccha.html,503-655-8575,,Central point for households experiencing homelessness or a housing crisis to seek assistance. Call and leave message to begin process of obtaining assistance.,202108
5,My Father's House,TSH,FALSE,FALSE,5003 W Powell Blvd,Gresham,OR,97030,45.49303,-122.48249,http://www.familyshelter.org/,503-492-3046,,"Six-month shelter program for families with children. Case management, life skills curriculum, Rent Well classes. Work intense. Call for information.",202108
6,Portland Homeless Family Solutions,TSH,TRUE,FALSE,,Portland,OR,,,,http://www.pdxhfs.org/,503-915-8306,,"Lents Family Campus for homeless families. Open 24 hours. Meals, showers, laundry, computers, internet and housing support. Drug- and alcohol-free shelter. Families must have children under age 18 in their care to qualify. Call 211 to be put on the Homeless Family Shelter Waitlist for the PHFS Lents Family Campus.",202108
7,Monika's House,TSH,TRUE,FALSE,,Beaverton,OR,,,,http://www.dvrc-or.org/monikas-house,1-866-469-8620; 503-469-4580,,"10:00 AM-7:00 PM Domestic violence shelter for men, women, children and pets. Does not require SSA. Advocacy & Restraining Orders: 503-640-5352. Counseling Service is unavailable.",202108
9,Family Promise,TSH,FALSE,FALSE,183 SE Sixth Avenue,Hillsboro,OR,97124,45.52152,-122.98108,http://www.familypromisewashingtoncountyoregon.org/,503-844-2919,,24-hour shelter. Family shelter for women and/or men with children. Not a domestic violence shelter. Three-family limit; call 211 or Community Action (503-640-3263) to join wait list for shelter. Maximum stay six weeks. Children must be enrolled in and attend public school or Head Start during their stay. Requires drug screening test with clean results and background check for all participants 13 years or older.,202108
10,The Salvation Army Female Emergency Shelter,TSW,FALSE,FALSE,30 SW 2nd Avenue,Portland,OR,97204,45.52258,-122.67216,http://safes.salvationarmy.org/,503-227-0810,,"Emergency shelter for women. No men or children allowed on site. 30-day program, but extensions available if you have an active housing plan. Low-barrier shelter. 81 beds. Showers, laundry, lockers, case management and housing assistance available.",202108
11,Good Neighbor Center,TSH. TSF,FALSE,FALSE,11130 SW Greenburg Road,Tigard,OR,97223,45.43983,-122.77935,http://www.goodneighborcenter.org/,503-640-3263; 503-443-6084,,"Hours: 6 AM-10 PM Provides safe emergency housing with supportive empowering services to adults with children younger than 18. Families have up to six weeks to meet their goals with the help of staff. No singles. Join Community Action wait list, call 503-640-3263.",202108
12,Community Action Family Shelter,TSH,FALSE,FALSE,210 SE 12th Avenue,Hillsboro,OR,97123,45.52076,-122.96976,http://www.caowash.org/,503-640-3263,,"Manages wait list for three shelters for families with children or mothers in last trimester of pregnancy. Waiting lists for Community Action, Good Neighbor Center and Family Promise. Call to join wait list. Food boxes (Washington County residents only) hours: 5:30-9 PM Monday-Friday; 9 AM-9 PM Saturday, Sunday.",202108
13,Blanchet House,TSM,FALSE,FALSE,310 NW Glison Street,Portland,OR,97209,45.52646,-122.67383,https://blanchethouse.org/ourservices/,503-241-4340,,Residential living program is a seven-month work recovery opportunity for men who are looking for a safe and sober environment while they establish a new direction in their lives. Our focus is on accountability and peer support as we help each other build toward a new life with dignity and respect.,202108
14,Transition Projects Resource Center,TSA,FALSE,FALSE,650 NW Irving Street,Portland,OR,97209,45.52778,-122.67725,https://www.tprojects.org/get-assistance/shelters,503-280-4700,,"Short-term residential programs: Clark Center (self-id. men only), Doreen's Place (self-id men), Jean's Place (self-id women). Emergency shelters: Laurelwood Center (self-id women, couples), SOS (self-id women), Willamette Center (women, couples), Walnut Park (all genders, couples). Shelter hours, services and locations vary. Call or come in for more info. Resource Center Hours: 8 AM-4 PM daily. Phone hours: 8 AM-4 PM Monday-Friday.",202108
15,City Team Portland,TSM,FALSE,FALSE,526 SE Grand Avenue,Portland,OR,97214,45.518978,-122.660683,https://www.cityteam.org/portland/,503-231-9334,,"Men only, sobriety required. Shelter sign-up 5:45-6:30 PM $5/night for shelter. Dinner, breakfast, shower included daily. Provides a safe place for homeless men to sleep, and receive a nourishing meal, clean clothing, and a hot shower.",202108
16,Portland Rescue Mission,"TSM, TSW",FALSE,FALSE,111 W. Burnside,Portland,OR,97209,45.52322,-122.67172,https://www.portlandrescuemission.org/,503-906-7690,,"Emergency shelter for men only, TB card required, optional chapel service. Homeless services, recovery programs.",202108
17,Harbor of Hope Shower Truck,SHW,FALSE,FALSE,,Portland,OR,,,,https://oregonharborofhope.org/wp-content/uploads/2019/07/7A1347CD-F623-41EA-878E-75200BB21EA6.png,503-860-4181,,Schedule: https://oregonharborofhope.org/wp-content/uploads/2020/05/Shower-Schedule.png,202108
18,MFS Benefits Outreach Center,GRO,FALSE,FALSE,1808 SE Belmont St,Portland,OR,97214,45.51624,-122.64725,http://www.metfamily.org/hungerrelief/,503-560-4071,,"MFS is currently running 5 food pantries each week in 3 school districts (David Douglas, Reynolds, and Centennial)",202108
19,MFS Project Linkage,TRN,TRUE,FALSE,,Portland,OR,,,,https://www.metfamily.org/what-we-do/older-adult-support/transportation/,503-249-0471,,Transportation and other in-home support services to older adults and people with disabilities,202108
22,Elm Court Center (Downtown Portland),DIN,FALSE,FALSE,1032 SW Main Street,Portland,OR,97205,45.51737,-122.68381,https://www.mowp.org/dining-center-locations/elm-court-center-downtown-portland/,503-953-8204,,Elm Court Center is located in the heart of downtown Portland on the corner of SW 11th and Main Street. It is the only one of our 35 centers that is open every day for meals. Join us for lunch daily from 11:30 a.m. to 1 p.m. The center is open from 8:30 a.m.to 3:30 p.m. weekdays.,202108
23,Friendly House Center,DIN,FALSE,FALSE,1737 NW 26th Avenue,Portland,OR,97210,45.53516,-122.70523,https://www.mowp.org/dining-center-locations/friendly-house-center/,503-593-3068,,"Lunch is served Monday through Friday from 11:30 a.m. to 12:30 p.m. Tuesday — piano music at 11 a.m.; Bingo from 1:30 to 3 p.m. (25 cents per card), Wednesday — chair stretches at 11 a.m. Languages Spoken: English, Vietnamese, Cantonese, Mandarin",202108
24,LGBTQ Center @ Central Lutheran Church,DIN,FALSE,FALSE,1820 NE 21st Avenue,Portland,OR,97212,45.53609,-122.64437,https://www.mowp.org/dining-center-locations/lgbtq-center/,503-281-8109,,This LGBT-friendly center serves lunch to seniors on Wednesdays. Seniors are invited to visit the Belmont Center on the other days of the week. Lunch is served on Wednesdays and seniors are invited to visit one of our other meal centers on the other days of the week.,202108
25,Q Center,DIN,FALSE,FALSE,4115 N Mississippi,Portland,OR,97217,45.55359,-122.67583,https://www.mowp.org/dining-center-locations/q-center/,503-234-7837,,"The Q Center is LGBT-friendly and serves lunch to seniors on Thursdays. Seniors are invited to visit the MLK, Jr. Center on the other days of the week.  Contact: Susan Kocen, Senior Services Coordinator, susan@pdxQcenter.org",202108
26,Martin Luther King Jr. Center,DIN,FALSE,FALSE,5325 NE Martin Luther King Jr Blvd,Portland,OR,97211,45.56202,-122.66158,https://www.mowp.org/dining-center-locations/martin-luther-king-jr-center/,503-953-8207,,"The MLK, Jr. Center is located in the Multnomah County building on the corner of NE MLK, Jr. Blvd and NE Killingsworth. Lunch, with a choice of entrée, is served Monday through Friday.  Hours and Meal Times: Open Monday through Friday. Soul food served on special occasions.  Activities / Interests: Programming provided by the Urban League of Portland, including fitness classes on Mondays and Wednesdays at 10:30 a.m. and Tai Chi on Thursdays at 1 p.m. and Fridays at 10 a.m.",202108
27,Belmont Center,DIN,FALSE,FALSE,4610 SE Belmont,Portland,OR,97215,45.51625,-122.6149,https://www.mowp.org/dining-center-locations/belmont-center/,503-953-8146,,"Lunch, with a choice of entrée, is available Monday through Friday. Belmont hosts a monthly open mic session for seniors and features the Belmont Boutique for gently-used resale items.  Languages spoken:  English, Russian, Chinese, Spanish, Vietnamese, Tagalog",202108
28,Two Rivers Center (St. Johns),DIN,FALSE,FALSE,9009 N Foss Ave.,Portland,OR,97203,45.58746,-122.7101,https://www.mowp.org/dining-center-locations/two-rivers-center-st-johns/,503-953-8210,,"Two Rivers Center, the “Center of the Stars”, is located in the Charles Jordan Community Center in North Portland. Lunch, with a choice of entrée, is served Monday through Friday.  Hours and Meal Times: Open Monday through Friday.  Activities / Interests: EnhanceFitness on Tuesday, Thursday and Friday at 10:30 a.m.  Languages Spoken: English, Spanish",202108
29,Cherry Blossom Center,DIN,FALSE,FALSE,740 SE 106th Avenue,Portland,OR,97216,45.51603,-122.55297,https://www.mowp.org/dining-center-locations/cherry-blossom-center/,503-953-8104,,"Cherry Blossom Center is located in the East Portland Community Center just off of Stark Street in Southeast Portland, at 740 SE 106th Avenue. Lunch, with a choice of entrée, is served Monday through Friday. Asian meals made from scratch are also available.  Hours and Meal Times: Open Monday through Friday, 11:15 a.m. to 12:30 p.m. Activities / Interests: Mondays: 9 a.m. – Bunco hosted by Cherry Blossom Seniors  2nd Wednesday of each month, 9 to 11 a.m. – Mainspring Commodity Supplemental Food Box pick-up. Bring your identification.  3rd Wednesday of each month, 9 to 11 a.m. – Oregon Food Bank Harvest to Home fresh produce available for free to seniors.  Thursdays: 1 p.m. – Dime Bingo hosted by Cherry Blossom Seniors  Fridays: 1 p.m. – Bingo 2 pk $4 and/or Special 2 pk $4 (24 sheets/pk) hosted by Cherry Blossom Seniors  Languages spoken: English, Mandarin & Cantonese, Japanese, Vietnamese, Indonesian, Thai, Korean, Malaysian, Hmong",202108
30,Beaverton Center,DIN,FALSE,FALSE,5550 SW Hall Blvd,Beaverton,OR,97005,45.47944,-122.80558,https://www.mowp.org/dining-center-locations/beaverton-center/,503-643-8352,,"Beaverton Center is located in the Elsie Stuhr Senior Center. Lunch, with a choice of entrée, is served Monday through Friday. We partner with the Oregon Korean Community on Tuesdays and Thursdays and serve kimchee on request on those days.  Hours and Meal Times: Open Monday through Friday. Korean entrée served on Tuesdays & Thursdays.  Activities / Interests: Programming provided by Tualatin Hills Parks & Recreation.  Languages spoken: English, Spanish, Korean",202108
31,Luepke Center (Vancouver),DIN,FALSE,FALSE,1009 E McLoughlin Blvd.,Vancouver,WA,98663,45.63349,-122.66139,https://www.mowp.org/dining-center-locations/luepke-center-vancouver/,360-695-3847,,"Luepke is open Monday through Friday and serves lunch with a choice of entrée at noon. Specialty meals from around the world are provided on Thursday. Vancouver Clark Parks and Rec provide a wide variety of programming for seniors, including fitness classes, ballroom dancing and field trips.  Open Monday through Friday. International entrées served weekly.  Activities / Interests:  Ballroom dancing, Monday, Wednesday and Friday at 10:30 a.m.  Bingo Tuesday and Thursday at 10:30 a.m.  Languages spoken: Russian, English",202108
32,The Diner Vancouver,DIN,FALSE,FALSE,5303 E Mill Plain Blvd,Vancouver,WA,98661,45.62789,-122.61699,https://www.mowp.org/dining-center-locations/the-diner-vancouver/,360-859-3338,,"The Diner is a casual dining experience with a twist.  Our restaurant is unique and important – quite the gem. We truly are serving more than just a meal. We are on a mission to create a sense of community through food and proudly serve a classic diner menu with a healthy, local twist. The Diner encourages intergenerational social interaction by welcoming a diverse crowd of people – business professionals, families, individuals and older adults alike. The Diner supports the mission of Meals on Wheels People by providing financial accessibility to restaurant dining for Clark County adults ages 60 and older through a donation-based program.  We provide our staff a living wage, excellent benefits and consistent schedules to provide stability and sense of community. We do not accept tips but gladly accept your donations which help provide nutritious meals to older adults in Clark County.",202108
33,Tigard Center,DIN,FALSE,FALSE,8815 SW O'Mara Street,Tigard,OR,97223,45.42223,-122.76793,https://www.mowp.org/dining-center-locations/tigard-center/,503-620-4613,,"The Tigard Center is located in the Tigard Senior Center. Lunch, with a choice of entrée, is served Monday through Friday. The center provides a variety of programming for seniors. For information about the Tigard Senior Center, click here.  Hours and Meal Times: Open Monday through Friday.  Activities / Interests: EnhanceFitness on Monday, Wednesday and Friday at 8:45 a.m. and 10 a.m.",202108
34,Juanita Pohl Center (Tualatin),DIN,FALSE,FALSE,8513 SW Tualatin Road,Tualatin,OR,97062,45.38573,-122.76205,https://www.mowp.org/dining-center-locations/juanita-pohl-center-tualatin/,503-692-6767,,"The Juanita Pohl Center is located at the Juanita Pohl Center in Tualatin. Lunch, with a choice of entrée, is served Monday through Friday. The Juanita Pohl Center provides a wide variety of programming for seniors, including classes and lectures.  Hours and Meal Times: Open Monday through Friday  Languages Spoken: English, Spanish",202108
35,Edwards Center (Aloha),DIN,FALSE,FALSE,4375 SW Edwards Place,Aloha,OR,97007,45.48784,-122.88637,https://www.mowp.org/dining-center-locations/edwards-center-aloha/,503-953-8151,,"Lunch, with a choice of entrée, is served on Mondays.  Hours and Meal Times: Open Monday only beginning at 11:30 a.m.",202108
36,Hillsboro Center,DIN,FALSE,FALSE,6701 NE Campus Way,Hillsboro,OR,97124,45.53319,-122.91073,https://www.mowp.org/dining-center-locations/hillsboro-center/,971-808-7885,,"Lunch, with a choice of entrée, is served Monday through Thursday.  Hours and Meal Times: Open for lunch Monday through Thursday beginning at 11:30 a.m",202108
37,Ambleside Center (Gresham),DIN,FALSE,FALSE,"600 NE 8th Street, Ste. 150",Gresham,OR,97030,45.50261,-122.42361,https://www.mowp.org/dining-center-locations/ambleside-center-gresham/,503-953-8201,,"Ambleside Center is located in the Multnomah County building near the transit center in Gresham and is open for lunch, with a choice of entrée, Monday through Friday. Gresham Seniors United provide programming.  Hours and Meal Times: Open Monday through Friday.  Activities / Interests: EnhanceFitness on Monday, Wednesday and Friday at 10:30 a.m., Board Games, Bingo, Walk With Ease  Languages spoken: English, Spanish",202108
38,Washougal Center,DIN,FALSE,FALSE,1681 C Street,Washougal,WA,98671,45.57925,-122.35393,https://www.mowp.org/dining-center-locations/washougal-center/,360-210-5666,,"The Washougal Center is located in the Washougal Community Center and serves lunch at noon Monday through Thursday.  Hours and Meal Times: Open Monday through Thursday.  Activities / Interests: EnhanceFitness  Languages spoken:  English, Russian",202108
39,North Plains Center,DIN,FALSE,FALSE,31450 NW Commercial Street,North Plains,OR,97133,45.59763,-123.00132,https://www.mowp.org/dining-center-locations/north-plains-center/,503-647-5666,,"The North Plains Center is located in the North Plains Senior Center in the heart of North Plains. Lunch, with a choice of entrée, is served Monday through Friday. North Plains Center hosts an annual crab feed every January and maintains a large garden adjacent to the center every summer.  Hours and Meal Times: Open Monday through Friday.  Activities / Interests: EnhanceFitness on Monday, Wednesday and Friday at 9:30 a.m.",202108
41,Battle Ground Center,DIN,FALSE,FALSE,912 East Main Street,Battle Ground,WA,98604,45.7812,-122.5273,https://www.mowp.org/dining-center-locations/battle-ground-center/,360-666-9158,,"Battle Ground Center is located in the beautiful Battle Ground Community Center and is open for lunch, with a choice of entrée, Monday through Friday.  Hours and Meal Times: Open Monday through Friday.  Activities / Interests: EnhanceFitness on Tuesday, Wednesday and Friday at 9:30 a.m., Bingo",202108
43,La Center Center,DIN,FALSE,FALSE,1000 E 4th Street,La Center,WA,98629,45.86246,-122.66044,https://www.mowp.org/dining-center-locations/la-center-center/,360-666-9158,,"Lunch, with a choice of entrée, is available at the “La Center” Center on Thursdays at noon. Seniors are invited to visit one of our other Clark County locations on the other days of the week.  Hours and Meal Times: Open for lunch on Thursdays.",202108
44,Amboy Center,DIN,FALSE,FALSE,40107 NE 221st,Amboy,WA,98601,45.91178,-122.44629,https://www.mowp.org/dining-center-locations/amboy-center/,360-666-9158,,"Meals for the Amboy Center are served at the Mt. Valley Grange, 40107 NE 221st in Amboy, on Mondays and Wednesdays.  Seniors are invited to visit our other Clark County locations on other weekdays.  Hours: Lunch served on Wednesday",202108
47,St Mary's Soup Kitchen,DIN,FALSE,FALSE,815 Ellsworth SW,Albany,OR,97321,44.63129,-123.10479,https://stmarysalbany.com/soup-kitchen/,541-926-1449,,Free Meals.  HOURS: Mon: 5 pm - 6 pm;  Wed: 5 pm - 6 pm;  Fri: 5 pm - 6 pm,202108
48,Aumsville Food Pantry,GRO,FALSE,FALSE,10153 Mill Creek RD,Aumsville,OR,97325,44.83747,-122.85317,https://www.foodpantries.org/ci/or-aumsville,541-228-0474,,Free Groceries.  HOURS: Thurs: 1 pm - 6 pm,202108
50,SVDP St. Wencelsaus Scappoose,GRO,FALSE,FALSE,51555 Old Portland Rd.,Scappoose,OR,97056,45.74335,-122.88075,https://stwenceslaus-scappoose.com/ministries,503-543-6733,,Free Groceries.  HOURS:  Tues. & Thurs. 1:00 - 3:00 pm,202108
51,Murray Hills Christian Church,GRO,FALSE,FALSE,15050 SW Weir Road,Beaverton,OR,97007,45.447,-122.83094,https://www.murrayhills.org/serving-our-community,503-591-9025,,Free Groceries.  HOURS:  Mon: 2:30 pm - 4:30 pm;  Wed: 9:30 am - 11:30 pm;  Sat: 10 am - 2 pm.  Please call for appointment. Personal shoppers in use during COVID-19,202108
